PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Daily Kirley,"California Emerging Infections Program, Oakland.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Sachdev,"California Department of Public Health, Richmond.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Alden,"Colorado Department of Public Health & Environment, Denver.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Armistead,"Colorado Department of Public Health & Environment, Denver.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Monroe,"Maryland Department of Health, Baltimore.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Kim,"Michigan Department of Health and Human Services, Lansing.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Urlaub,"Michigan Department of Health and Human Services, Lansing.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Como-Sabetti,"Minnesota Department of Health, St Paul.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,D'Heilly,"Minnesota Department of Health, St Paul.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Ropp,"New Mexico Department of Health, Santa Fe.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Rowlands,"New York State Department of Health, Albany.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Barney,"New York State Department of Health, Albany.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Sutton,"Public Health Division, Oregon Health Authority, Portland.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Abdullah,"Public Health Division, Oregon Health Authority, Portland.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Chatelain,"Salt Lake County Health Department, Salt Lake City, Utah.",Not Found
40663351,"Pediatric COVID-19 Hospitalization Trends by Race and Ethnicity, 2020-2023.",2025-Jul-01,Price,"Salt Lake County Health Department, Salt Lake City, Utah.",Not Found
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Park,"Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA. Electronic address: park.walter@mayo.edu.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Nair,"Department of Medicine, Mayo Clinic, Phoenix, AZ, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Wadei,"Division of Nephrology and Hypertension, Mayo Clinic, Jacksonville, FL, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Liang,"Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Smith,"Department of Health Sciences Research, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Abdelrheem,"Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Schinstock,"Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Isham,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Kumanovics,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Ahmad,"Janssen Scientific Affairs, LLC, Titusville, NJ, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Simonson,"Janssen Scientific Affairs, LLC, Titusville, NJ, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Ryser,"Janssen Scientific Affairs, LLC, Titusville, NJ, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Tapia-Cealle,"Janssen Vaccines and Prevention, Leiden, the Netherlands.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Badley,"Division of Infectious Diseases, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40663029,Responses of Kidney Transplant Recipients to Vaccination and Boosting.,2025-Jul-15,Stegall,"Department of Surgery and Immunology, Mayo Clinic, Rochester, MN, USA.",park.walter@mayo.edu
40662956,Analysis of recognized occupational infectious diseases in Germany between 2018 and 2023.,2025-Jul-15,Schneider,"German Social Accident Insurance (DGUV), Berlin, Germany.",Not Found
